player,agency,agent,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Jeff Withey,Wasserman Media Group,Arn Tellem,"$490,180 ","$816,482 ",$0 ,$0 ,$0 
Jeffery Taylor,BDA Sports Management,Todd Ramasar,"$788,872 ","$915,243 ",$0 ,$0 ,$0 
Jeremy Evans,Priority Sports & Entertainment,Mark Bartelstein,"$1,660,000 ","$1,795,000 ",$0 ,$0 ,$0 
Jeremy Lamb,Excel Sports Management,Jeff Schwartz,"$2,111,160 ","$2,202,000 ","$3,034,356 ","$4,175,273 ",$0 
Jeremy Lin,Williams & Connolly,Jim Tanner,"$5,225,000 ","$14,898,938 ",$0 ,$0 ,$0 
Jeremy Tyler,Wasserman Media Group,Arn Tellem,TBD,TBD,TBD,TBD,TBD
Jermaine O'Neal,Wasserman Media Group,Arn Tellem,"$2,000,000 ",$0 ,$0 ,$0 ,$0 
Jerryd Bayless,Excel Sports Management,Jeff Schwartz,"$3,135,000 ",$0 ,$0 ,$0 ,$0 
Jimmer Fredette,Octagon Athlete Representation,Chris Emens,"$2,574,120 ","$3,282,003 ","$4,470,088 ",$0 ,$0 
Jimmy Butler,Relativity Sports,Dan Fegan,"$1,174,080 ","$2,119,214 ","$3,178,821 ",$0 ,$0 
Joakim Noah,BDA Sports Management,Bill Duffy,"$12,100,000 ","$13,150,000 ","$14,200,000 ",$0 ,$0 
Jodie Meeks,Lagardere Unlimited,David Bauman,"$1,550,000 ",$0 ,$0 ,$0 ,$0 
Joe Johnson,Wasserman Media Group,Arn Tellem,"$21,466,718 ","$23,180,790 ","$24,894,863 ",$0 ,$0 
Joel Anthony,Excel Sports Management,Mike Higgins,"$3,800,000 ","$3,800,000 ",$0 ,$0 ,$0 
Joel Freeland,Elite Sports,Rafael Calvo,"$3,000,000 ","$3,100,000 ",$0 ,$0 ,$0 
John Henson,Williams & Connolly,Jim Tanner,"$1,905,360 ","$1,987,320 ","$2,943,220 ","$4,094,019 ",$0 
John Jenkins,BDA Sports Management,Bill Duffy,"$1,258,800 ","$1,312,920 ","$2,228,025 ","$3,241,776 ",$0 
John Lucas,Lee Basketball Services LTD,Bernie Lee,"$1,600,000 ","$1,600,000 ",$0 ,$0 ,$0 
John Salmons,Bell Management,Joel Bell,"$7,580,000 ","$7,000,000 ",$0 ,$0 ,$0 
John Wall,Relativity Sports,Dan Fegan,"$7,459,924 ","$13,701,250 ","$14,728,844 ","$15,756,438 ","$16,784,031 "
Jon Leuer,Priority Sports & Entertainment,Mark Bartelstein,"$900,000 ","$967,500 ","$1,035,000 ",$0 ,$0 
Jonas Jerebko,The Neustadt Group,Doug Neustadt,"$4,500,000 ","$4,500,000 ",$0 ,$0 ,$0 
Jonas Valanciunas,Creative Artists Agency,Leon Rose,"$3,526,440 ","$3,678,360 ","$4,660,482 ","$6,179,799 ",$0 
Jordan Crawford,Creative Artists Agency,Aaron Mintz,"$2,162,418 ","$3,206,866 ",$0 ,$0 ,$0 
Jordan Farmar,"Dutt Sports Services, Inc",Tony Dutt,"$1,106,942 ",$0 ,$0 ,$0 ,$0 
Jordan Hamilton,Premier Sports,Gregory Nunn,"$1,234,320 ","$2,225,478 ","$3,284,805 ",$0 ,$0 
Jordan Henriquez,Premier Sports,Gregory Nunn,"$490,180 ",$0 ,$0 ,$0 ,$0 
Jordan Hill,BDA Sports Management,Kevin Bradbury,"$3,500,000 ",$0 ,$0 ,$0 ,$0 
Jose Juan Barea,Relativity Sports,Dan Fegan,"$4,687,000 ","$4,519,500 ",$0 ,$0 ,$0 
Jose Manuel Calderon,Priority Sports & Entertainment,Mark Bartelstein,"$6,791,570 ","$7,097,191 ","$7,402,812 ","$7,708,427 ",$0 
Josh Childress,Octagon Athlete Representation,Jeff Austin,"$7,182,500*","$7,317,500*",$0 ,$0 ,$0 
Josh Childress,Octagon Athlete Representation,Jeff Austin,"$1,186,459 ",$0 ,$0 ,$0 ,$0 
