team,player,player_off_roster_13,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,total
Pistons,Andre Drummond,FALSE,2462400,2568360,3272091,4433683,NA,NA,8302851
Pistons,Luigi Datome,FALSE,1750000,1750000,2187500,NA,NA,NA,3500000
Pistons,Kyle Singler,FALSE,1045000,1090000,1362500,NA,NA,NA,2135000
Pistons,Josh Harrellson,FALSE,884293,948163,NA,NA,NA,NA,1832456
Pistons,Tony Mitchell,FALSE,500000,816482,947276,1215696,NA,NA,2263758
Pistons,Peyton Siva,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Raptors,Rudy Gay,FALSE,17888932,19317326,NA,NA,NA,NA,37206258
Raptors,DeMar Derozan,FALSE,9500000,9500000,9500000,9500000,NA,NA,38000000
Raptors,Amir Johnson,FALSE,6500000,7000000,NA,NA,NA,NA,13500000
Raptors,Landry Fields,FALSE,6250000,6250000,NA,NA,NA,NA,12500000
Raptors,Kyle Lowry,FALSE,6210000,NA,NA,NA,NA,NA,6210000
Raptors,Steve Novak,FALSE,3750001,3445947,3750001,NA,NA,NA,10945949
Raptors,Jonas Valanciunas,FALSE,3526440,3678360,4660482,6179799,NA,NA,11865282
Raptors,Tyler Hansbrough,FALSE,3183000,3326235,NA,NA,NA,NA,6509235
Raptors,Marcus Camby,TRUE,2763054,646609,NA,NA,NA,NA,3409663
Raptors,Aaron Gray,FALSE,2690875,NA,NA,NA,NA,NA,2690875
Raptors,Terrence Ross,FALSE,2678640,2793960,3553917,4790680,NA,NA,9026517
Raptors,Quentin Richardson,TRUE,1399507,NA,NA,NA,NA,NA,1399507
Raptors,D.J. Augustin,FALSE,1267000,NA,NA,NA,NA,NA,1267000
Raptors,Austin Daye,FALSE,947907,1063384,NA,NA,NA,NA,2011291
Raptors,Quincy Acy,FALSE,788872,915243,1181348,NA,NA,NA,1704115
Raptors,Dwight Buycks,FALSE,700000,816482,1147276,NA,NA,NA,1516482
Rockets,Dwight Howard,FALSE,20513178,21436271,22359364,23282457,NA,NA,87591270
Rockets,James Harden,FALSE,13701250,14728844,15756438,16784031,17811625,NA,78782188
Rockets,Omer Asik,FALSE,8374646,8374646,NA,NA,NA,NA,16749292
Rockets,Jeremy Lin,FALSE,8374646,8374646,NA,NA,NA,NA,16749292
