"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"151",6,"Detroit Pistons ",363,28,121,23,0,2005,"NBATeamValues05.xls",NA,NA
"152",7,"Phoenix Suns ",356,26,111,20.1,56,2005,"NBATeamValues05.xls",NA,NA
"153",8,"Philadelphia 76ers ",342,4,107,7.2,28,2005,"NBATeamValues05.xls",NA,NA
"154",9,"Boston Celtics ",334,15,104,25.4,54,2005,"NBATeamValues05.xls",NA,NA
"155",10,"Sacramento Kings ",330,20,118,0.6,25,2005,"NBATeamValues05.xls",NA,NA
"156",11,"San Antonio Spurs ",324,15,108,26.7,40,2005,"NBATeamValues05.xls",NA,NA
"157",12,"Indiana Pacers ",311,11,104,2.6,16,2005,"NBATeamValues05.xls",NA,NA
"158",13,"Cleveland Cavaliers ",298,15,93,21.9,10,2005,"NBATeamValues05.xls",NA,NA
"159",14,"Toronto Raptors ",297,19,100,5.4,37,2005,"NBATeamValues05.xls",NA,NA
"160",15,"New Jersey Nets ",296,22,93,-7.4,51,2005,"NBATeamValues05.xls",NA,NA
"161",16,"Minnesota Timberwolves ",291,26,97,-20,17,2005,"NBATeamValues05.xls",NA,NA
"162",17,"Miami Heat ",279,18,93,18.6,66,2005,"NBATeamValues05.xls",NA,NA
"163",18,"Washington Wizards ",273,0,94,21.5,40,2005,"NBATeamValues05.xls",NA,NA
"164",19,"Denver Nuggets ",268,23,89,25.2,19,2005,"NBATeamValues05.xls",NA,NA
"165",20,"Utah Jazz ",257,7,88,27.5,11,2005,"NBATeamValues05.xls",NA,NA
"166",21,"Portland Trail Blazers ",247,-9,88,-47,53,2005,"NBATeamValues05.xls",NA,NA
"167",22,"Memphis Grizzlies ",238,5,75,-4.1,38,2005,"NBATeamValues05.xls",NA,NA
"168",23,"Atlanta Hawks ",232,15,83,4.7,31,2005,"NBATeamValues05.xls",NA,NA
"169",24,"Golden State Warriors ",228,21,76,8.1,33,2005,"NBATeamValues05.xls",NA,NA
"170",25,"New Orleans Hornets ",225,4,80,17.1,44,2005,"NBATeamValues05.xls",NA,NA
"171",26,"Los Angeles Clippers ",224,8,77,22.4,0,2005,"NBATeamValues05.xls",NA,NA
"172",27,"Orlando Magic ",218,10,78,12.2,28,2005,"NBATeamValues05.xls",NA,NA
"173",28,"Seattle SuperSonics ",205,4,73,0.5,44,2005,"NBATeamValues05.xls",NA,NA
"174",29,"Milwaukee Bucks ",199,14,77,4.8,20,2005,"NBATeamValues05.xls",NA,NA
"175",1,"Los Angeles Lakers",200,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"176",2,"Boston Celtics",180,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"177",3,"Detroit Pistons",150,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"178",4,"Chicago Bulls",100,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"179",5,"New York Knicks",100,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"180",6,"Phoenix Suns",99,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"181",7,"Philadelphia 76ers",75,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"182",8,"Cleveland Cavaliers",61.1,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"183",9,"Orlando Magic",60.8,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"184",10,"Portland Trailblazers",59.9,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"185",11,"Charlotte Hornets",59.6,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"186",12,"Miami Heat",58.6,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"187",13,"Houston Rockets",58,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"188",14,"Dallas Mavericks",54.4,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"189",15,"Atlanta Hawks",53.5,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"190",16,"Milwaukee Bucks",53.5,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"191",17,"Minnesota Timberwolves",51.2,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"192",18,"Golden State Warriors",50.7,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"193",19,"Sacramento Kings",49.1,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"194",20,"San Antonio Spurs",46.5,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"195",21,"Utah Jazz",44.9,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"196",22,"Los Angeles Clippers",42.9,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"197",23,"New Jersey Nets",42.6,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"198",24,"Denver Nuggets",40.6,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"199",25,"Washington Bullets",37.5,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"200",26,"Seattle Supersonics",37.3,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"201",27,"Indiana Pacers",33.3,NA,NA,NA,NA,1991,"NBATeamValues91.xls",NA,NA
"202",1,"Los Angeles Lakers",150,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"203",2,"Detroit Pistons",120,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"204",3,"Boston Celtics",110,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"205",4,"Chicago Bulls",100,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"206",5,"New York Knicks",83,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"207",6,"Cleveland Cavaliers",81,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"208",7,"Phoenix Suns",80,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"209",8,"Portland Trailblazers",78,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"210",9,"Charlotte Hornets",74,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"211",10,"Golden State Warriors",63,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"212",11,"Philadelphia 76ers",63,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"213",12,"Sacramento Kings",63,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"214",13,"San Antonio Spurs",63,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"215",14,"Minnesota Timberwolves",62,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"216",15,"Orlando Magic",62,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"217",16,"Houston Rockets",61,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"218",17,"Dallas Mavericks",60,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"219",18,"Miami Heat",60,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"220",19,"Atlanta Hawks",57,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"221",20,"Milwaukee Bucks",56,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"222",21,"Los Angeles Clippers",54,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
"223",22,"New Jersey Nets",54,NA,NA,NA,NA,1992,"NBATeamValues92.xls",NA,NA
