player,agency,agent,season,salary,salary_amnesty,,player
Jose Calderon,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,6791570,FALSE,,
Josh Childress,Octagon Athlete Representation,Jeff Austin,2013-2014,7182500,TRUE,,
Josh Childress,Octagon Athlete Representation,Jeff Austin,2013-2014,1186459,FALSE,,
Josh Harrellson,United Sports and Entertainment Group,Merle Scott,2013-2014,884293,FALSE,,
Josh McRoberts,BDA Sports Management,Mike Conley,2013-2014,2652000,FALSE,,
Josh Smith,Perennial,Wallace Prather,2013-2014,14000000,FALSE,,
Jrue Holiday,Rival Sports Group,Tony Dutt,2013-2014,11000000,FALSE,,
Kawhi Leonard,Impact Sports Basketball,Brian Elfus,2013-2014,1991760,FALSE,,
Kelly Olynyk,Wasserman Media Group,Arn Tellem,2013-2014,1986360,FALSE,,
Kemba Walker,Excel Sports Management,Jeff Schwartz,2013-2014,2709720,FALSE,,
Kendall Marshall,Octagon Athlete Representation,Jeff Austin,2013-2014,2005560,FALSE,,
Kendrick Perkins,Wasserman Media Group,Arn Tellem,2013-2014,8477437,FALSE,,
Kenneth Faried,Wasserman Media Group,Arn Tellem,2013-2014,1442880,FALSE,,
Kent Bazemore,Walton Sports,Austin Walton,2013-2014,762195,FALSE,,
Kentavious Caldwell-Pope,Wasserman Media Group,Thaddeus Foucher,2013-2014,2653080,FALSE,,
Kenyon Martin,ASM Sports,Andy Miller,2013-2014,1399507,FALSE,,
Kevin Durant,Roc Nation Sports,Juan Perez,2013-2014,18773176,FALSE,,
Kevin Garnett,ASM Sports,Andy Miller,2013-2014,11532468,FALSE,,
Kevin Love,Excel Sports Management,Jeff Schwartz,2013-2014,14693906,FALSE,,
Kevin Martin,Relativity Sports,Dan Fegan,2013-2014,6500000,FALSE,,
Kevin Seraphin,Klutch Sports Management,Rich Paul,2013-2014,2761113,FALSE,,
Khris Middleton,Excel Sports Management,Michael Lindeman,2013-2014,788872,FALSE,,
Kirk Hinrich,Octagon Athlete Representation,Jeff Austin,2013-2014,4059000,FALSE,,
Klay Thompson,BDA Sports Management,Bill Duffy,2013-2014,3245151,FALSE,,
Kobe Bryant,Landmark Sports Agency,Rob Pelinka,2013-2014,30453000,FALSE,,
Kosta Koufos,Mark Termini Associates,Mark Termini,2013-2014,3000000,FALSE,,
Kris Humphries,Wasserman Media Group,Arn Tellem,2013-2014,12000000,FALSE,,
Kris Joseph,CGL Sports,Chris Grier Luchey,2013-2014,788872,FALSE,,
Kwame Brown,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,3000000,FALSE,,
Kyle Korver,Excel Sports Management,Jeff Schwartz,2013-2014,6760563,FALSE,,
Kyle Lowry,ASM Sports,Andy Miller,2013-2014,6210000,FALSE,,
Kyle Singler,Wasserman Media Group,Arn Tellem,2013-2014,1045000,FALSE,,
Kyrie Irving,24/7 Sports Management,Jeff Wechsler,2013-2014,5915880,FALSE,,
LaMarcus Aldridge,Wasserman Media Group,Arn Tellem,2013-2014,14100000,FALSE,,
Lance Thomas,540 Sports and Entertainment LLC,John Spencer,2013-2014,884293,FALSE,,
Landry Fields,Octagon Athlete Representation,Chris Emens,2013-2014,5225000,FALSE,,
Larry Sanders,Relativity Sports,Dan Fegan,2013-2014,3053368,FALSE,,
Lavoy Allen,ASM Sports,Andy Miller,2013-2014,3120000,FALSE,,
LeBron James,Klutch Sports Management,Rich Paul,2013-2014,19067500,FALSE,,
Linas Kleiza,BDA Sports Management,Rade Filipovich,2013-2014,4600000,TRUE,,
Louis Amundson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,TBD,FALSE,,
Louis Williams,Creative Artists Agency,Leon Rose,2013-2014,5225000,FALSE,,
Luc Mbah A Moute,Excel Sports Management,Jeff Schwartz,2013-2014,4588384,FALSE,,
Luis Scola,AAI Sports,George Bass,2013-2014,5724622,TRUE,,
Luis Scola,AAI Sports,George Bass,2013-2014,4500000,FALSE,,
Luke Ridnour,Williams & Connolly,Jim Tanner,2013-2014,4320000,FALSE,,
Luol Deng,Interperformances,Herb Rudoy,2013-2014,14312125,FALSE,,
Maalik Wayns,ASM Sports,Andy Miller,2013-2014,788872,FALSE,,
Malcolm Lee,Impact Sports Basketball,Mitch Frankel,2013-2014,854389,FALSE,,
Manu Ginobili,Interperformances,Herb Rudoy,2013-2014,7000000,FALSE,,
Marc Gasol,Wasserman Media Group,Arn Tellem,2013-2014,14860523,FALSE,,
Marcin Gortat,Zucker International,Guy Zucker,2013-2014,7727280,FALSE,,
